C:\Program Files\nodejs\node.exe --max-old-space-size=4096 .\main.js
Shape Processing Unit 0.2.0
Thu Jul 08 2021 03:41:11 GMT-0700 (Pacific Daylight Time)

Searching for shapes...
Max program length: 16
Input data: [0001,0001,0001,0001,0001]
 471000000 IUIIILI2R42U42 [0008,0002,0004,0001,0004]
 472000000 IUIIII4R43LXUS [0001,0001,000c]
 473000000 IUIIIIR22R24SX [0001,0001,0002]
 474000000 IUIIIIL4R4XXS1 [0009,0001]
 475000000 ILI1SUI1IR1CI1 [0001,0002,0004,0001,0002]
 476000000 ILI1SIRIRXUISU [0009,0006]
 477000000 ILI1XUIUSRIR1U [0002,0022]
 478000000 ILI1RSIL1I2XL1 [0008,0011]
 479000000 ILI1RIU2XL1L1U [0008,0008]
 480000000 ILI1RIIRI3U24X [0001,0001,0004,0002]
 481000000 ILI1U1ISIR2SIC [0011,0022,0001]
 482000000 ILI1UI22I2U31X [0002,0001,0001]
 483000000 ILI1UISI1LSUIC [0001,0064,0001]
 484000000 ILI1UIUIIU2R1C [0001,0002,0001,0008,0004]
 485000000 ILI1UIIU23I4L3 [0004,0001,0001,0008,0002]
 486000000 ILI1L1ISR1RSCS [002a]
 487000000 ILI1LXRIIL2LXL [0001,0004]
 488000000 ILI1LI1IUXSSUI [0054,0001]
 489000000 ILI1LIUSUSIIR2 [0001,0002,0111]
 490000000 ILI1LIIX22L2LC [0001,0002,0008]
 491000000 ILI1I2SRSIXI [002a,0001]
 492000000 ILI1I2UXIRI31X [0001,0002,0008]
 493000000 ILI1I2IU3XS1I [0005,0001,0001]
 494000000 ILI1I1US1UIRI1 [0003,0004,0001,0002]
 495000000 ILI1I1IS2SSI1S [1911]
 496000000 ILI1ISRI1U1ILS [0001,000c,0009]
 497000000 ILI1IX1ISIXL1L [0088,0004]
 498000000 ILI1IR2U1S1RXL [0003]
 499000000 ILI1IRSIXC1RXC [0001,0002]
 500000000 ILI1IRIUS21C3L [0001,0004,0002,0004]
 501000000 ILI1IU1SXISC [0011]
 502000000 ILI1IUI21S1I33 [0004,0001,0001,0009]
 503000000 ILI1IL21S1L1IX [0004,0009]
 504000000 ILI1ILI22UXISC [0001,0001,0008,0001]
 505000000 ILI1II3SRX1RXL [0008]
 506000000 ILI1II2XLSIU1R [0001,0004,0003]
 507000000 ILI1IIXUIUSR1R [0001,0088,0001]
 508000000 ILI1IIU3LI4UX [0001,0004,0008,0001]
 509000000 ILI1IIL1U31XI3 [0008,0001,0001,0008]
 510000000 ILI1IIILX23UXS [0001,0009]
 511000000 ILISRIII3LC1S [0001,0001,0001,0009]
 512000000 ILISUCIU2R2L2C [0008,0001,0004]
 513000000 ILISUIU1CUI31S [0004,0008,0005]
 514000000 ILISLIXRIIL1R1 [0009,0002,0008]
 515000000 ILISI1U1UIRIL2 [0006,0002,0008,0004]
 516000000 ILISI1I1CXRSLI [0001,0088,0001]
 517000000 ILISIXI1UIRX1U [0006,0004]
 518000000 ILISIRILI1XX1C [0002,0008,0001]
 519000000 ILISIUIISSLSRC [0004,0113]
 520000000 ILISII22I33XL2 [0001,0008,0001]
 521000000 ILISIIRI33L1S1 [0002,0098,0001]
 522000000 ILISIIILSSCXC [0009,0008]
 523000000 ILIXUILSIXIXCC [0008,0002]
 524000000 ILIXLIIUSRCLXI [0004,0008,0001]
 525000000 ILIXIXISUIL1L1 [0003,0008]
 526000000 ILIXIUIU2RS1RC [0005,0008]
 527000000 ILIXIIRSL1SC1X [0001]
 528000000 ILIR1SIUIXSCIS [000c,0003]
 529000000 ILIR1RILI3RI2U [0001,0008,0004,0001,0004]
 530000000 ILIR1L1IUIXU1 [0004,0001,0002]
 531000000 ILIR1I2SI21SRS [0033]
 532000000 ILIR1ISSIU1SC [000c,0003]
 533000000 ILIR1IUSSCL1LX [0001]
 534000000 ILIR1IIX21LI1 [0008,0002,0001,0008]
 535000000 ILIRSRIIL1IUSC [0005,0008,0004,0001]
 536000000 ILIRSIRSLI1XIL [0001,0008]
 537000000 ILIRXUIRI2SXUC [0008]
 538000000 ILIRXIII3L22US [0001,0004,0005]
 539000000 ILIRI2SRSRCR11 [0044,0004]
 540000000 ILIRI2UI1ILSCS [0002,0001,0001,000a]
 541000000 ILIRI2IS2LXISU [0001,0046]
 542000000 ILIRI12I1IL42C [0002,0001,0008,0001,0008]
 543000000 ILIRI1U2UXLIIX [0001,0004,0001]
 544000000 ILIRI1I1SIL3UC [0001,0003,0008,0002]
 545000000 ILIRISXLI1XU [0004]
 546000000 ILIRISII21L12C [0008,0008,0003,0001]
 547000000 ILIRIR21LSI1US [0002,0007]
 548000000 ILIRIRI3I2L2XX [0002,0002,0001]
 549000000 ILIRIU22ISUIS [0004,0008,000d]
 550000000 ILIRIU1ISR2R [0004,0006,0001]
 551000000 ILIRIUI1SLIL12 [0008,0008,000a,0002]
 552000000 ILIRIL2U1IRXU2 [0002,0002,0002]
 553000000 ILIRILSIR2I2XS [000a,0009]
 554000000 ILIRILIU3I22SL [0002,0008,0001,0006]
 555000000 ILIRII3UXRIU2S [0002,0002,0005]
 556000000 ILIRII2UXXR1IR [0002,0008,0002]
 557000000 ILIRIIR32UX1UI [0002,0008,0008,0001]
 558000000 ILIRIIU2USSCLI [0008,000c,0008,0001]
 559000000 ILIRIILS2SCLS [0002,0888]
 560000000 ILIRIIILS1SC3R [0002,0008,0011,0001]
 561000000 ILIU1RI2ISXRXR [0002]
 562000000 ILIU1UIXIRIXXX [0004]
 563000000 ILIU1LIIRIXSL1 [0004,0009,0004]
 564000000 ILIU1I1LIU23SL [0004,0004,000a]
 565000000 ILIU1IRIRXU2X1 [0008,0008]
 566000000 ILIU1II23U32RI [0001,0001,0001,0001,0001]
 567000000 ILIUSRII2ISL1U [0001,008c,0004]
 568000000 ILIUSIXRIILXLS [0089]
 569000000 ILIUXUIIRXLSIL [000a,0008]
 570000000 ILIUI22XSLIIC [000c,0001,0001]
 571000000 ILIUI2SC2SSCS [000d]
 572000000 ILIUI2UIU1LSSU [0004,0054]
 573000000 ILIUI2IX1R1LIC [0004,0002,0004,0001]
 574000000 ILIUI12IIU32R2 [0001,0008,0004,0002,0004]
 575000000 ILIUI1UI3ILSXX [0001,0001]
 576000000 ILIUI1ISS1SCS [0059]
 577000000 ILIUISR1IRIX2 [0008,0002,000a]
 578000000 ILIUIX1U1SIR11 [0006,0002]
 579000000 ILIUIR2X1SRII1 [000c,0001,0001]
 580000000 ILIUIRS1IR2C [0008,0002,0004,0002]
 581000000 ILIUIRIXXIRSXU [0002]
 582000000 ILIUIU2I2L12LC [0004,0002,0001,0004]
 583000000 ILIUIUISXRIUSS [00c8]
 584000000 ILIUIL2IS2XCXC [0008,0008]
 585000000 ILIUILI3SRIX2C [0008,0003,0004]
 586000000 ILIUILIISR2LSX [0008,0008]
 587000000 ILIUII3IU4USXR [0001,0001,0001]
 588000000 ILIUIIS2SSCIUC [000c,0011,0004]
 589000000 ILIUIIR2L3RS1S [0001,0023]
 590000000 ILIUIIUSLC21I1 [0008,0008,0004,0001,0002]
 591000000 ILIUIILIX12R32 [0008,0008,0008,0001]
 592000000 ILILSUIUSI1L1L [0013,0008]
 593000000 ILILSIIRI2LSLS [0088,000e]
 594000000 ILILXIUII2RXU2 [0001,0004,0008]
 595000000 ILILI2SIR1XRXC [0008]
 596000000 ILILI2L2I21LIS [0001,0008,0004,0009]
 597000000 ILILI2IR1XI2SL [0008,0002,0088]
 598000000 ILILI1SUISLXR [0001]
 599000000 ILILI1UIIX1RX [0008,0001,0001]
 600000000 ILILI1IXUIU1U3 [0001,0004,0008,0008]
 601000000 ILILISU1IL2XLX [0008]
 602000000 ILILIXRIISR22 [0022,0008,0001]
 603000000 ILILIR2IR3XUIX [0002,0008,0008]
 604000000 ILILIRXII32S1R [0008,0009,0002]
 605000000 ILILIRILIUX21 [0008,0002,0008,0008]
 606000000 ILILIU1L2IU32C [0004,0004,0004,0008]
 607000000 ILILIUI1R3RSSU [0008,0064]
 608000000 ILILILXI1USLXL [0004]
 609000000 ILILILIIRSL3UC [0008,0008,0009,0002]
 610000000 ILILII23SUIXSX [0001]
 611000000 ILILIIS2IX2S1S [0099]
 612000000 ILILIIR1X1UXIS [0008,0003]
 613000000 ILILIIUXSRILSS [00b8]
 614000000 ILILIII4LSR23S [0001,000a,0009]
 615000000 ILII22R2SIU1XR [0008,0008]
 616000000 ILII22LXI1XXIC [0001,0001]
 617000000 ILII22IISR2R1 [0001,0001,0001,0022]
 618000000 ILII21U2IU3IS1 [0004,0001,0009,0004]
 619000000 ILII21ISLI3SC [0008,0088,0011]
 620000000 ILII2SU1SISCIL [0004,0013,0008]
 621000000 ILII2SIR1L1LXL [0001,0006]
 622000000 ILII2RXUSCIX [0004,0001]
 623000000 ILII2U2ISILSR2 [0002,0023,0001]
 624000000 ILII2UI3RX22SX [0001]
 625000000 ILII2L2S1IRISS [0005,0031]
 626000000 ILII2LSRCI12IL [0001,0001,0002,0008,0008]
 627000000 ILII2LIU21XI31 [0004,0001,0001,0001]
 628000000 ILII2I3LXR1I2L [0001,0008,0001,0001]
 629000000 ILII2I1SU22SSU [004d]
 630000000 ILII2IX1U21R22 [0008,0008,0001]
 631000000 ILII2IU33U3R3R [0001,0004,0001,0008]
 632000000 ILII2IL2R13I2 [0008,0002,0001,0001,0008]
 633000000 ILII2IIUXUX12 [0008,0001,0001]
 634000000 ILIISSI1CRIS1L [0001,0023,0004]
 635000000 ILIISUSISUCUIX [0004,004c]
 636000000 ILIISI22RIS2U1 [0008,0004,0023]
 637000000 ILIISIU2SLSCRX [0004]
 638000000 ILIIX1LI2R2RXL [0001,0001]
 639000000 ILIIXRISU1R1UX [0001]
 640000000 ILIIXLIU1I3XS1 [0009,0004]
 641000000 ILIIXIL1U2I12R [0008,0001,0008,0008]
 642000000 ILIIR21LISR1S1 [002a,0001]
 643000000 ILIIR2RIL3SUC3 [0001,0004,0002,0002]
 644000000 ILIIR2I22L3R2C [0001,0004,0002,0002]
 645000000 ILIIR12X1IXSIC [0003,0001]
 646000000 ILIIR1RI3L1LXS [0002,0006]
 647000000 ILIIR1LIRIX2L [0008,0008,0002,0001]
 648000000 ILIIR1IIU33LX1 [0008,0001,0002,0004]
 649000000 ILIIRSI1SLIRXC [0008,0088,0001]
 650000000 ILIIRXIUIUS2U2 [0044,0002,0001]
 651000000 ILIIRI3I1L2S1L [0001,0002,0005,0008]
 652000000 ILIIRI13UXRIRX [0001,0001,0004]
 653000000 ILIIRISLS1ILSR [0091,0011]
 654000000 ILIIRIRI1LSU1S [0008,0001,0046]
 655000000 ILIIRIL3UISX1X [0001,0008]
 656000000 ILIIRII2R4RS31 [0001,0001,0001,0005]
 657000000 ILIIU21XRIIL1R [0001,0001,0008,0002]
 658000000 ILIIU2RI3R2SSI [0004,0031,0001]
 659000000 ILIIU2I3RIUSCL [0004,0008,0001,0004,0001]
 660000000 ILIIU2IIU14U2U [0004,0008,0001,0004,0001]
 661000000 ILIIU1R12SRIU2 [0009,0004,0002]
 662000000 ILIIU1LI1RIR1R [0008,0004,0001,0002,0002]
 663000000 ILIIU1II3S3XRX [0001,0001]
 664000000 ILIIUSC2I1S1UI [0004,0009,0004,0001]
 665000000 ILIIUX1I1XIUXS [0011]
 666000000 ILIIUI31ISU3XU [0004,0008,0011]
 667000000 ILIIUI2XRX1U11 [0004,0002]
 668000000 ILIIUI1L22XRXC [0008,0002]
 669000000 ILIIUIXI3U1UXS [0001,0006]
 670000000 ILIIUIU3I3USRX [0001,0004,0008]
 671000000 ILIIUILSLC1R2U [0008,0002,0008,0004]
 672000000 ILIIUIIL2RS21 [0008,0001,0001,0088]
 673000000 ILIIL2RI2IRS3 [0001,0001,000a,0001]
 674000000 ILIIL2I33LSIL3 [0001,0005,0008,0008]
 675000000 ILIIL2IIU2U2S2 [0001,0004,0003,0008]
 676000000 ILIIL1U1I33RSI [0008,0001,0088,0001]
 677000000 ILIIL1IR2SCR1C [0008,0001,0004,0008]
 678000000 ILIILSUC1IR3XC [0002,0004,0002]
 679000000 ILIILSIU1I13U [0004,0001,0009,0002]
 680000000 ILIILI32L1UXI3 [0001,0004,0001,0001]
 681000000 ILIILI22IR4L1R [0001,0001,0008,0004,0004]
 682000000 ILIILI1U12RX2U [0002,0001,0002]
 683000000 ILIILIXU2XLSIR [0011,0002]
 684000000 ILIILIU3SU1SRX [0001]
 685000000 ILIILILS2U2L1S [0088,000a]
 686000000 ILIILIIL4L2R22 [0001,0008,0002,0008,0004]
 687000000 ILIII32U3RSL1I [0001,0003,0008,0001]
 688000000 ILIII3S2R1UI3X [0002,0006,0001]
 689000000 ILIII3U3L1XSSR [0032]
 690000000 ILIII3LS2RXLIR [0001,000a,0002]
 691000000 ILIII3IUSR1S1X [0001,0019]
 692000000 ILIIISRX1I1L1S [0001,0005]
 693000000 ILIIIX2SISUCXR [0001,0088]
 694000000 ILIIIXIR3L3U22 [0001,0004,0002,0004]
 695000000 ILIIIR3I14XUSX [0001,0002]
 696000000 ILIIIR13SCIR12 [0001,0002,0002,0001,0008]
 697000000 ILIIIRS1IXR1SR [0008,0064]
 698000000 ILIIIRI1R34S1L [0001,0001,0009,0002]
 699000000 ILIIIU3R2LS1U1 [0001,0001,0009]
 700000000 ILIIIU2U2XXLIL [0008,0002,0008]
 701000000 ILIIIU1L12ISX1 [0008,0004,0008]
 702000000 ILIIIUXUIL3L2X [0001,0008,0004]
 703000000 ILIIIL33R31RC [0008,0008,0001,0004]
 704000000 ILIIIL22L1IU2S [0008,0008,0001,000c]
 705000000 ILIIIL1XSSUCL1 [0011,0004]
 706000000 ILIIILSCRSLXI2 [0001,0001,0008]
 707000000 ILIIILIR42X21X [0001,0002,0001]
 708000000 ILIIIIS22SL1LX [0008,0088]
 709000000 ILIIIIRSL1U32C [0001,0004,0008,0008,0001]
 710000000 ILIIIIL2L3S3SS [0001,0898]
 711000000 IISRI1IIR3R3 [0001,0002,0002,0022]
 712000000 IISRIU1L1I1ISC [0011,0001,0004,0001]
 713000000 IISRILIXSRCRI [0044,0002,0001]
 714000000 IISRIIU1IXXSCS [0026]
 715000000 IISUI1I22SUIU1 [0001,0004,0015]
 716000000 IISUIRXUIIR1XL [0011,0001]
 717000000 IISUIL1U1IL [0011,0008,0008]
 718000000 IISUIIXI21SUXC [0001]
 719000000 IISLI1XLIRIL1C [0008,0008,0002]
 720000000 IISLIXILI1R21U [0001,0088,0004]
 721000000 IISLIUI1IUX1U1 [0088,0004,0004]
 722000000 IISLII2US1LI21 [0008,0023,0001]
 723000000 IISLIII3U33L21 [0001,0001,0022,0008]
 724000000 IISI1U1LISI2U [0009,0001,0011]
 725000000 IISI1LIUIRXUX1 [0088,0001]
 726000000 IISI1IU12S1RXU [0444]
 727000000 IISISIL1LIXRXU [0002]
 728000000 IISIR1I1R22L2I [0002,0008,0022,0001]
 729000000 IISIRI1SSLCIXR [0888,0002]
 730000000 IISIRILI3RSL21 [0008,0002,0019]
 731000000 IISIU1IU1R1R2U [0022,0008,0001]
 732000000 IISIUI2I33L21S [0011,0004,0009]
 733000000 IISIUIL2IRXXL1 [0004,0004]
 734000000 IISIL1I1IUSSC1 [0008,0111,0004]
 735000000 IISILI2I3LS22 [0005,0001,0011]
 736000000 IISILIL21I1L2S [0008,0001,0015]
 737000000 IISII2R2U21IS1 [0022,0005,0001]
 738000000 IISIISUIL2L2LS [0008,00aa]
 739000000 IISIIRSLC2LXL1 [0008,0008]
 740000000 IISIIU1IX2L1XU [0004,0022]
 741000000 IISIIL1R2SLCIX [0008,0088,0001]
 742000000 IISIIISL1RSUXL [0088]
 743000000 IIXRI1I2R2I32C [0002,0001,0001,0002]
 744000000 IIXRIU1L1SI1SI [0051,0001]
 745000000 IIXRILIUIL32LX [0008,0008,0002]
 746000000 IIXRIIL1LXL1XI [0004,0001]
 747000000 IIXUISRIUI1S1X [0005]
 748000000 IIXUIUISLILSXL [0002]
 749000000 IIXUIIS1U1SIR [0111,0002]
 750000000 IIXLI1XLIXLILC [0004,0008]
 751000000 IIXLIR1ILX1LIX [0008,0001]
 752000000 IIXLILXISRIRSC [0023]
 753000000 IIXLIIU1XRI2LX [0008,0001]
 754000000 IIXIXUISILXLCS [000a]
 755000000 IIXIRSI1I1L22X [0009,0001]
 756000000 IIXIRIUSUC1LS [0001,0005]
 757000000 IIXIU1ISL1UXIL [0088,0008]
 758000000 IIXIUI1I33RSR1 [0004,0006,0001]
 759000000 IIXIUIIL3LSS1C [0089,0004]
 760000000 IIXILXRIRIUXS [0022]
 761000000 IIXILIUSLXUIL [0004,0008]
 762000000 IIXIIR2LI1XXXC [0001]
 763000000 IIXIIU12I31US [0001,0001,0044]
 764000000 IIXIIL1XLI2U1 [0004,0004,0001]
 765000000 IIXIIIU1L3UXR2 [0004,0001,0001]
 766000000 IIR1SLCI21IU33 [0001,0004,0001,0008]
 767000000 IIR1SILISUC22I [0002,0003,0004,0001]
 768000000 IIR1XIRXRI1I2L [0004,0001,0008]
 769000000 IIR1RXIUXUIUIU [0008,0004,0004]
 770000000 IIR1RI1I2X2XXC [0002]
 771000000 IIR1RIUXXIRI1L [0002,0001,0001]
 772000000 IIR1RIISSUIU22 [0004,0002,004c]
 773000000 IIR1U1UIII4LX2 [0008,0001,0001,0001]
 774000000 IIR1USCI22SIL [0001,0006,0008]
 775000000 IIR1UI2LSUIIS2 [0044,0011,0004]
 776000000 IIR1UIX1IUSSIX [0064]
 777000000 IIR1UIL2I32US [0008,0001,000c]
 778000000 IIR1UIIU3IR3RC [0004,0004,0002,0002,0002]
 779000000 IIR1L1I1SRSCUI [000c,0008,0001]
 780000000 IIR1LSIUI1IRS2 [0001,0006,000a]
 781000000 IIR1LI12LISRSS [002b]
 782000000 IIR1LIR1S1R1IC [0004,000a,0001]
 783000000 IIR1LILI2SL2S1 [000e,0008]
 784000000 IIR1LIII41R31S [0008,0001,0002,0003]
 785000000 IIR1I2SSRCXRIX [0008]
 786000000 IIR1I2UI2R3SL1 [0008,0009,0001]
 787000000 IIR1I2IUI13L21 [0001,0002,0004,0001,0008]
 788000000 IIR1ISI1IR2XR [0002,0011,0004]
 789000000 IIR1IXIIR1LSL1 [0002,0005,0001]
 790000000 IIR1IRSR1IXL1C [0001,0004,0002]
 791000000 IIR1IRIU32IS31 [0004,0002,0001,0003]
 792000000 IIR1IU12SR1SCL [0044,0001]
 793000000 IIR1IUXIIU13S [0001,0004,0003]
 794000000 IIR1IUII2US2X2 [0001,0011,0002]
 795000000 IIR1IL1LSSUIU1 [0004,002a]
 796000000 IIR1ILI2IUSLCC [0002,0008,0001,0008,0002]
 797000000 IIR1II31S1X1XC [0003]
 798000000 IIR1IIX22XR1SR [000a]
 799000000 IIR1IIU33IRXXU [0001,0004,0008]
 800000000 IIR1IIL2U2LS12 [000c,0008,0002]
 801000000 IIR1IIIL12RSS1 [0002,000b,0001]
 802000000 IIRSRCIU2R1XSR [0005]
 803000000 IIRSRIU1CUISX1 [0004,0004]
 804000000 IIRSUIXUI1R1XU [0009]
 805000000 IIRSLCRI2LXLIS [0002,0009]
 806000000 IIRSLI1C1L2SIC [0001,0005,0001]
 807000000 IIRSLIIR21SCR2 [0008,0006,0001]
 808000000 IIRSI1I1UXIRSU [0001,000c]
 809000000 IIRSIRXLIRXIR [0009,0002]
 810000000 IIRSIUIRISLCX2 [0004,0008,0003]
 811000000 IIRSII21IU1U [0001,0003,0004,0004]
 812000000 IIRSIIL21I21XR [0001,0008,0006]
 813000000 IIRXRII22IR3UX [0002,0001,0002]
 814000000 IIRXUIIIR3RSX [0001,0001]
 815000000 IIRXIR1RISLCR [0002,0008,0002]
 816000000 IIRXIUIIL21XL [0001,0001,0002]
 817000000 IIRXIIUIXSSCXR [0008]
 818000000 IIRI22RI1R23R2 [0001,0001,0002,0008]
 819000000 IIRI22I1US2XIX [0001,0009]
 820000000 IIRI2SRIL1L1LX [0002,0011]
 821000000 IIRI2XUIR1I1UX [0002,0002,0001]
 822000000 IIRI2R1U12LII1 [0004,0002,0001,0001,0001]
 823000000 IIRI2RI1SU1R1 [0002,0002,000c]
 824000000 IIRI2U2RISRCXI [0001,0004,0008,0001]
 825000000 IIRI2USLIUXISC [0002,0008,0003]
 826000000 IIRI2UIRSUS1LX [0091]
 827000000 IIRI2L2IIR2U3C [0001,0001,0002,0008,0008]
 828000000 IIRI2LXIU1I21C [0002,0001,0004,0001]
 829000000 IIRI2LII3XRS12 [0003,0008,0002]
 830000000 IIRI2IS2UI22S2 [0001,0019,0001]
 831000000 IIRI2IR1I3L44X [0001,0001,0008,0002]
 832000000 IIRI2IUIS1XRX [0002,0001]
 833000000 IIRI2IISU2S1SS [0057]
 834000000 IIRI1SL1I2LSC1 [0001,0001,000c]
 835000000 IIRI1XIRS1LIS [0003,0009]
 836000000 IIRI1R1I2XSSIS [1111]
 837000000 IIRI1RIX1RI33U [0002,0001,0001,0001]
 838000000 IIRI1U2ILSSXLC [0008]
 839000000 IIRI1UI3XX1SUI [0006,0001]
 840000000 IIRI1LSRIR2RSC [0022,0022]
 841000000 IIRI1I3SL1RSIS [0001,008d]
 842000000 IIRI1I2RIS1L1U [0001,0002,0008,000c]
 843000000 IIRI1IS1U2R22S [0002,0007]
 844000000 IIRI1IRSIR33XU [0022,0002,0004]
 845000000 IIRI1IUIL14L2 [0001,0002,0004,0008,0008]
 846000000 IIRI1II24X1SX [0001,0001]
 847000000 IIRIS1LI2RIX2S [0001,000e]
 848000000 IIRISRSII2C33R [0004,0003,0001,0002]
 849000000 IIRISRILXCRXXL [0008]
 850000000 IIRISLSCIUXUXI [0008,0001]
 851000000 IIRISLIISUSCRC [0001,004c,0002]
 852000000 IIRISIRXSRCSIC [0026,0001]
 853000000 IIRIX1RSIRIUXC [0022,0002]
 854000000 IIRIXRSRIIL22 [0008,000a,0001]
 855000000 IIRIXLIR1USCUX [0001,0004]
 856000000 IIRIXIUSLIXXLC [0008]
 857000000 IIRIR21S1SII [0023,0001,0001]
 858000000 IIRIR2RIU22I1U [0002,0004,0002,0001,0008]
 859000000 IIRIR2I31SLXRS [0022]
 860000000 IIRIRS1I2R1U2L [0044,0004,0008]
 861000000 IIRIRXXIR1UIRX [0002,0004]
 862000000 IIRIRI3RXSIR1R [0002,0002,0006]
 863000000 IIRIRI2USC3XLS [0002,0088]
 864000000 IIRIRI1I42S33S [0001,0003,0003]
 865000000 IIRIRIR3L1RSSR [0002,000d]
 866000000 IIRIRIUI2L3R2R [0001,0004,0001,0004,0002]
 867000000 IIRIRII33R2X23 [0002,0004,0001,0001]
 868000000 IIRIU22I1XS1IR [0011,0004,0002]
 869000000 IIRIU2R2SLIU2C [0011,0004,0004]
 870000000 IIRIU2LX1IILXC [0004,0002,0001]
 871000000 IIRIU2IL1USXI2 [0004,0001,0002]
 872000000 IIRIU1XIXIRSRS [000d]
 873000000 IIRIU1LXUIS1I1 [0011,0001,0001]
 874000000 IIRIU1IUIU41L4 [0002,0004,0001,0002,0004]
 875000000 IIRIUSL1ISRS [0223]
 876000000 IIRIUSILXR1SRC [0008,0003]
 877000000 IIRIUI32R2U1I1 [0002,0001,0004,0001,0008]
 878000000 IIRIUI21USXIC [0001,0004,0001]
 879000000 IIRIUI1X22R1IC [0001,0004,0001,0001]
 880000000 IIRIUISIU3S2UX [0005,0005]
 881000000 IIRIUIRI24L2U [0002,0002,0004,0008,0004]
 882000000 IIRIUIL2U33IL [0008,0008,0001,0004,0008]
 883000000 IIRIUIIXU31XL2 [0004,0008,0002]
 884000000 IIRIL21L12I3SU [0001,0002,0005]
 885000000 IIRIL2RISIL22L [0002,0008,0008,0009]
 886000000 IIRIL2I3U33XXU [0001,0002]
 887000000 IIRIL12RII2X3 [0002,0001,0001,0008]
 888000000 IIRIL1RI2SC1 [0001,0004,0001,0008]
 889000000 IIRIL1I23L2R2L [0002,0008,0002,0004]
 890000000 IIRILS1R1RIL2U [0005,0008,0008]
 891000000 IIRILSCUI2IR3X [0001,0001,0008,0002]
 892000000 IIRILXRI1RIL2R [0001,0008,0008,0002]
 893000000 IIRILI3U3SR2U [0001,000c,0002]
 894000000 IIRILI2U3LISU2 [0008,0008,0006,0001]
 895000000 IIRILI1LSSRCLC [0001,000c,0001]
 896000000 IIRILIXI12SR1L [0001,0005,0008]
 897000000 IIRILIU21RI1R [0001,0008,0002,0001,0001]
 898000000 IIRILILX1LXI2U [0008,0001,0004]
 899000000 IIRILIILSR1RSU [0001,0002,004c]
 900000000 IIRII3XXLILXL [0002,0004]
 901000000 IIRII3U3UXSCLC [0001,0004,0008]
 902000000 IIRII3L1SXIU1L [0002,0004,0008]
 903000000 IIRII23SL2I3RX [0009,0001,0001]
 904000000 IIRII22L12LXRC [0001,0008,0004]
 905000000 IIRII2SR2IU3X2 [0001,0004,0006]
 906000000 IIRII2RI4SRXR2 [0001,0008,0001]
 907000000 IIRII2LIL3L4U [0001,0001,0008,0008,0004]
 908000000 IIRIIS2RXXIU11 [0002,0004]
 909000000 IIRIISUSIR1C1C [0001,0002,0002,0044]
 910000000 IIRIIX1USR1I22 [0001,0003,0001]
 911000000 IIRIIXIU3LXU2C [0001,0001,0002]
 912000000 IIRIIR23L1SLCU [0001,0002,0004,0004]
 913000000 IIRIIR1R3XUXSU [0088]
 914000000 IIRIIRX1I1U3LC [0001,0001,0008,0008]
 915000000 IIRIIRIL4R2X3 [0001,0008,0002,0002]
 916000000 IIRIIU3ISSR12U [002a,0001,0008]
 917000000 IIRIIU2IU34R24 [0002,0001,0002,0004,0004]
 918000000 IIRIIUS12I22R [0005,0001,0002,0002]
 919000000 IIRIIUI3SR1RX1 [0001,0006,0001]
 920000000 IIRIIL31U1L1RS [0002,0001,000c]
 921000000 IIRIIL21L1I3S2 [0001,0002,0011,0004]
 922000000 IIRIIL1X1L1IRX [0001,0001,0008]
 923000000 IIRIILSC2IRS3U [0008,0001,0022,0004]
 924000000 IIRIILISR3R33X [0003,0002,0002]
 925000000 IIRIII33U2XXU2 [0001,0008,0001]
 926000000 IIRIIIXU1U21U [0001,0004,0002,0001]
 927000000 IIRIIIU2U32X33 [0004,0002,0001,0001]
 928000000 IIU1SRCRI1USRC [0008,0022]
 929000000 IIU1SI1C2U1UXR [0004,0008]
 930000000 IIU1SIIXU1IS1 [0015,0004]
 931000000 IIU1XIUI2SIX11 [0004,0005]
 932000000 IIU1R1I2SI2XRX [0003]
 933000000 IIU1RSIILIXS [0006,0009]
 934000000 IIU1RI1XUIRIS2 [0004,0003,0004]
 935000000 IIU1RIRI22RSXU [0004,0004]
 936000000 IIU1RILIU2XX1U [0008,0001]
 937000000 IIU1RIIIU1L41R [0002,0001,0004,0004,0001]
 938000000 IIU1UI2IR1LXU2 [0001,0008,0004]
 939000000 IIU1UIR2XIU22I [0004,0004,0002,0001]
 940000000 IIU1UILIR22IX1 [0004,0002,0008,0004]
 941000000 IIU1UIIIL44LSL [0001,0001,0008,0003]
 942000000 IIU1L1ILIXUIR1 [0008,0004,0002,0002]
 943000000 IIU1LI2SIX11 [0008,0005]
 944000000 IIU1LISR1RI1I3 [0001,0008,0001,0003]
 945000000 IIU1LIUSLILXXU [0001]
 946000000 IIU1LIIXSILSXC [0004]
 947000000 IIU1I21SLIUSXL [0008]
 948000000 IIU1I2RSUCI21I [0001,0002,0004,0001,0001]
 949000000 IIU1I2I2UXR2S1 [0003,0004]
 950000000 IIU1ISXISLC1X [0002]
 951000000 IIU1IXRI1UI2SS [0004,0019]
 952000000 IIU1IR2I1ILX33 [0001,0004,0001,0002]
 953000000 IIU1IRXIRSRC22 [0002,0004,0004]
 954000000 IIU1IRII4RS2C [0001,0001,0009,0002]
 955000000 IIU1IU1IL22SI3 [0008,0005,0001,0004]
 956000000 IIU1IUIX1UI1LS [0004,0004,0003]
