03f1 [0001,000f,0003]
03f3 [0003,000f,0003]
03f4 [0004,000f,0003]
03f5 [0005,000f,0003]
03f6 [0006,000f,0003]
03f7 [0007,000f,0003]
03fc [000c,000f,0003]
03fd [000d,000f,0003]
03ff [000f,000f,0003]
0511 [0001,0001,0005]
0512 [0012,0005]
0513 [0003,0001,0005]
0515 [0005,0001,0005]
0516 [0012,0004,0005]
0517 [0007,0001,0005]
051a [0012,0008,0005]
051b [000b,0001,0005]
051e [0012,000c,0005]
051f [000f,0001,0005]
0531 [0001,0003,0005]
0532 [0002,0003,0005]
0533 [0003,0003,0005]
0535 [0005,0003,0005]
0536 [0006,0003,0005]
0537 [0007,0003,0005]
0539 [0009,0003,0005]
053a [000a,0003,0005]
053b [000b,0003,0005]
053c [0018,0424,0001]
053d [000d,0003,0005]
053e [000e,0003,0005]
053f [000f,0003,0005]
0551 [0001,0005,0005]
0552 [0012,0004,0005]
0553 [0003,0005,0005]
0555 [0005,0005,0005]
0557 [0007,0005,0005]
055a [0012,0048,0005]
055b [000b,0005,0005]
055f [000f,0005,0005]
0571 [0001,0007,0005]
0572 [0002,0007,0005]
0573 [0003,0007,0005]
0575 [0005,0007,0005]
0577 [0007,0007,0005]
0578 [0048,0003,0005]
0579 [0009,0007,0005]
057a [000a,0007,0005]
057b [000b,0007,0005]
057d [000d,0007,0005]
057f [000f,0007,0005]
05a2 [0002,0012,0048]
05a3 [0003,0012,0048]
05a5 [0121,0484]
05a7 [0007,0012,0048]
05aa [000a,0012,0048]
05ab [000b,0012,0048]
05af [000f,0012,0048]
05b1 [0001,000b,0005]
05b2 [0002,000b,0005]
05b3 [0003,000b,0005]
05b5 [0005,000b,0005]
05b6 [0006,000b,0005]
05b7 [0007,000b,0005]
05ba [000a,000b,0005]
05bb [000b,000b,0005]
05be [000e,000b,0005]
05bf [000f,000b,0005]
05f1 [0001,000f,0005]
05f2 [0002,000f,0005]
05f3 [0003,000f,0005]
05f5 [0005,000f,0005]
05f7 [0007,000f,0005]
05fa [000a,000f,0005]
05fb [000b,000f,0005]
05ff [000f,000f,0005]
0711 [0001,0001,0007]
0712 [0012,0007]
0713 [0003,0001,0007]
0715 [0005,0001,0007]
0716 [0012,0004,0007]
0717 [0007,0001,0007]
0718 [0018,0007]
0719 [0009,0001,0007]
071a [0012,0008,0007]
071b [000b,0001,0007]
071c [0018,0004,0007]
071d [000d,0001,0007]
071e [0012,000c,0007]
071f [000f,0001,0007]
0721 [0021,0007]
0722 [0002,0002,0007]
0723 [0003,0002,0007]
0725 [0021,0004,0007]
0727 [0007,0002,0007]
0729 [0021,0008,0007]
072a [000a,0002,0007]
072b [000b,0002,0007]
072d [0021,000c,0007]
072f [000f,0002,0007]
0731 [0001,0003,0007]
0732 [0002,0003,0007]
0733 [0003,0003,0007]
0734 [0024,0001,0007]
0735 [0005,0003,0007]
0736 [0006,0003,0007]
0737 [0007,0003,0007]
0738 [0018,0002,0007]
0739 [0009,0003,0007]
073a [000a,0003,0007]
073b [000b,0003,0007]
073c [0024,0018,0007]
073d [000d,0003,0007]
073e [000e,0003,0007]
073f [000f,0003,0007]
0751 [0001,0005,0007]
0752 [0012,0004,0007]
0753 [0003,0005,0007]
0755 [0005,0005,0007]
0757 [0007,0005,0007]
0758 [0048,0001,0007]
0759 [0009,0005,0007]
075a [0012,0048,0007]
075b [000b,0005,0007]
075d [000d,0005,0007]
075f [000f,0005,0007]
0771 [0001,0007,0007]
0772 [0002,0007,0007]
0773 [0003,0007,0007]
0775 [0005,0007,0007]
0777 [0007,0007,0007]
0778 [0048,0003,0007]
0779 [0009,0007,0007]
077a [000a,0007,0007]
077b [000b,0007,0007]
077d [000d,0007,0007]
077f [000f,0007,0007]
0791 [0001,0009,0007]
0793 [0003,0009,0007]
0795 [0005,0009,0007]
0796 [0012,0484,0003]
0797 [0007,0009,0007]
0798 [0008,0009,0007]
0799 [0009,0009,0007]
079a [000a,0009,0007]
079b [000b,0009,0007]
079c [000c,0009,0007]
079d [000d,0009,0007]
079e [000e,0009,0007]
079f [000f,0009,0007]
07a2 [0002,000a,0007]
07a3 [0003,000a,0007]
07a5 [0021,0484,0003]
07a7 [0007,000a,0007]
07a8 [0008,000a,0007]
07a9 [0009,000a,0007]
07aa [000a,000a,0007]
07ab [000b,000a,0007]
07ad [000d,000a,0007]
07af [000f,000a,0007]
07b1 [0001,000b,0007]
07b2 [0002,000b,0007]
07b3 [0003,000b,0007]
07b4 [0024,0009,0007]
07b5 [0005,000b,0007]
07b6 [0006,000b,0007]
07b7 [0007,000b,0007]
07b8 [0008,000b,0007]
07b9 [0009,000b,0007]
07ba [000a,000b,0007]
07bb [000b,000b,0007]
07bc [000c,000b,0007]
07bd [000d,000b,0007]
07be [000e,000b,0007]
07bf [000f,000b,0007]
07d1 [0001,000d,0007]
07d2 [0012,000c,0007]
07d3 [0003,000d,0007]
07d5 [0005,000d,0007]
07d7 [0007,000d,0007]
07d8 [0008,000d,0007]
07d9 [0009,000d,0007]
07da [000a,000d,0007]
07db [000b,000d,0007]
07dd [000d,000d,0007]
07df [000f,000d,0007]
07f1 [0001,000f,0007]
07f2 [0002,000f,0007]
07f3 [0003,000f,0007]
07f5 [0005,000f,0007]
07f7 [0007,000f,0007]
07f8 [0008,000f,0007]
07f9 [0009,000f,0007]
07fa [000a,000f,0007]
07fb [000b,000f,0007]
07fd [000d,000f,0007]
07ff [000f,000f,0007]
0f11 [0001,0001,000f]
0f12 [0012,000f]
0f13 [0003,0001,000f]
0f15 [0005,0001,000f]
0f16 [0012,0004,000f]
0f17 [0007,0001,000f]
0f1a [0012,0008,000f]
0f1b [000b,0001,000f]
0f1e [0012,000c,000f]
0f1f [000f,0001,000f]
0f31 [0001,0003,000f]
0f33 [0003,0003,000f]
0f34 [0024,0001,000f]
0f35 [0005,0003,000f]
0f36 [0006,0003,000f]
0f37 [0007,0003,000f]
0f3c [0024,0018,000f]
0f3d [000d,0003,000f]
0f3f [000f,0003,000f]
0f51 [0001,0005,000f]
0f52 [0012,0004,000f]
0f53 [0003,0005,000f]
0f55 [0005,0005,000f]
0f57 [0007,0005,000f]
0f5a [0012,0048,000f]
0f5b [000b,0005,000f]
0f5f [000f,0005,000f]
0f71 [0001,0007,000f]
0f72 [0002,0007,000f]
0f73 [0003,0007,000f]
0f75 [0005,0007,000f]
0f77 [0007,0007,000f]
0f78 [0048,0003,000f]
0f79 [0009,0007,000f]
0f7a [000a,0007,000f]
0f7b [000b,0007,000f]
0f7d [000d,0007,000f]
0f7f [000f,0007,000f]
0ff1 [0001,000f,000f]
0ff3 [0003,000f,000f]
0ff5 [0005,000f,000f]
0ff7 [0007,000f,000f]
0fff [000f,000f,000f]
1111 [0001,0001,0001,0001]
1112 [0012,0001,0001]
1113 [0003,0001,0001,0001]
1115 [0005,0001,0001,0001]
1116 [0012,0004,0001,0001]
1117 [0007,0001,0001,0001]
111a [0012,0008,0001,0001]
111b [000b,0001,0001,0001]
111e [0012,000c,0001,0001]
111f [000f,0001,0001,0001]
1121 [0121,0001]
1122 [0002,0012,0001]
1123 [0003,0012,0001]
1125 [0121,0004,0001]
1126 [0006,0012,0001]
1127 [0007,0012,0001]
1129 [0121,0008,0001]
112a [000a,0012,0001]
112b [000b,0012,0001]
112d [0121,000c,0001]
112e [000e,0012,0001]
112f [000f,0012,0001]
1131 [0001,0003,0001,0001]
1132 [0002,0003,0001,0001]
1133 [0003,0003,0001,0001]
1135 [0005,0003,0001,0001]
1136 [0006,0003,0001,0001]
1137 [0007,0003,0001,0001]
1138 [0018,0012,0001]
1139 [0009,0003,0001,0001]
113a [000a,0003,0001,0001]
113b [000b,0003,0001,0001]
113c [0018,0024,0001,0001]
113d [000d,0003,0001,0001]
113e [000e,0003,0001,0001]
113f [000f,0003,0001,0001]
1151 [0001,0005,0001,0001]
1153 [0003,0005,0001,0001]
1154 [0004,0005,0001,0001]
1155 [0005,0005,0001,0001]
1156 [0006,0005,0001,0001]
1157 [0007,0005,0001,0001]
115a [0012,0048,0001,0001]
115b [000b,0005,0001,0001]
115e [000e,0005,0001,0001]
115f [000f,0005,0001,0001]
1166 [0006,0012,0004,0001]
1167 [0007,0012,0004,0001]
1169 [0121,0048,0001]
116e [000e,0012,0004,0001]
116f [000f,0012,0004,0001]
1171 [0001,0007,0001,0001]
1172 [0002,0007,0001,0001]
1173 [0003,0007,0001,0001]
1174 [0004,0007,0001,0001]
1175 [0005,0007,0001,0001]
1176 [0006,0007,0001,0001]
1177 [0007,0007,0001,0001]
1179 [0009,0007,0001,0001]
117a [000a,0007,0001,0001]
117b [000b,0007,0001,0001]
117c [000c,0007,0001,0001]
117d [000d,0007,0001,0001]
117e [000e,0007,0001,0001]
117f [000f,0007,0001,0001]
11a5 [0121,0084,0001]
11aa [000a,0012,0008,0001]
11ab [000b,0012,0008,0001]
11ae [000e,0012,0008,0001]
11af [000f,0012,0008,0001]
11b1 [0001,000b,0001,0001]
11b2 [0002,000b,0001,0001]
11b3 [0003,000b,0001,0001]
11b5 [0005,000b,0001,0001]
11b6 [0006,000b,0001,0001]
11b7 [0007,000b,0001,0001]
11ba [000a,000b,0001,0001]
11bb [000b,000b,0001,0001]
11be [000e,000b,0001,0001]
11bf [000f,000b,0001,0001]
11e6 [0006,0012,000c,0001]
11e7 [0007,0012,000c,0001]
11ea [000a,0012,000c,0001]
11eb [000b,0012,000c,0001]
11ee [000e,0012,000c,0001]
11ef [000f,0012,000c,0001]
11f1 [0001,000f,0001,0001]
11f2 [0002,000f,0001,0001]
11f3 [0003,000f,0001,0001]
11f4 [0004,000f,0001,0001]
11f5 [0005,000f,0001,0001]
11f6 [0006,000f,0001,0001]
11f7 [0007,000f,0001,0001]
11fa [000a,000f,0001,0001]
11fb [000b,000f,0001,0001]
11fe [000e,000f,0001,0001]
11ff [000f,000f,0001,0001]
1211 [0001,0121]
1212 [1212]
1213 [0003,0121]
1215 [0005,0121]
1216 [1212,0004]
1217 [0007,0121]
1219 [0009,0121]
121a [1212,0008]
121b [000b,0121]
121d [000d,0121]
121e [1212,000c]
121f [000f,0121]
1221 [0021,0012]
1222 [0002,0002,0012]
1223 [0003,0002,0012]
1224 [0024,0012]
1225 [0021,0004,0012]
1226 [0006,0002,0012]
1227 [0007,0002,0012]
1229 [0021,0008,0012]
122a [000a,0002,0012]
122b [000b,0002,0012]
122c [0024,0008,0012]
122d [0021,000c,0012]
122e [000e,0002,0012]
122f [000f,0002,0012]
1231 [0001,0003,0012]
1232 [0002,0003,0012]
1233 [0003,0003,0012]
1234 [0024,0121]
1235 [0005,0003,0012]
1236 [0006,0003,0012]
1237 [0007,0003,0012]
1239 [0009,0003,0012]
123a [000a,0003,0012]
123b [000b,0003,0012]
123c [0024,0018,0012]
123d [000d,0003,0012]
123e [000e,0003,0012]
123f [000f,0003,0012]
1251 [0001,0121,0004]
1253 [0003,0121,0004]
1254 [0004,0121,0004]
1255 [0005,0121,0004]
1256 [0006,0121,0004]
1257 [0007,0121,0004]
1259 [0009,0121,0004]
125a [1212,0048]
125b [000b,0121,0004]
125c [000c,0121,0004]
125d [000d,0121,0004]
125e [000e,0121,0004]
125f [000f,0121,0004]
1262 [0002,0006,0012]
1263 [0003,0006,0012]
1264 [0004,0006,0012]
1265 [0005,0006,0012]
1266 [0006,0006,0012]
1267 [0007,0006,0012]
1269 [0021,0048,0012]
