C:\Program Files\nodejs\node.exe --max-old-space-size=25000 .\main.js
Shape Processing Unit 0.3.0
Sun Jul 11 2021 00:10:00 GMT-0700 (Pacific Daylight Time)

     Iters       ToDo      Total        Ops
     22200      20234      42433  312725237
     22300      20152      42451  314360154
     22400      20100      42499  316597625
     22500      20012      42511  318517823
     22600      19925      42524  320399528
     22700      19947      42646  322615061
     22800      19860      42659  324571815
     22900      19813      42712  326640021
     23000      19754      42753  328532798
     23100      19713      42812  331155226
     23200      19635      42834  332987810
     23300      19546      42845  334320618
     23400      19479      42878  336337897
     23500      19391      42890  338136954
     23600      19312      42911  340137539
     23700      19252      42951  341757697
     23800      19152      42951  343324187
     23900      19078      42977  345666540
     24000      18978      42977  347851140
     24100      18920      43019  349548826
     24200      18826      43025  351268076
     24300      18728      43027  353232722
     24400      18696      43095  355312831
     24500      18643      43142  357727820
     24600      18590      43189  359442916
     24700      18553      43252  361296766
     24800      18474      43273  362975089
     24900      18392      43291  364658186
     25000      18292      43291  366038029
     25100      18234      43333  367858868
     25200      18257      43456  369849722
     25300      18248      43547  374045281
     25400      18246      43645  378558990
     25500      18251      43750  383357363
     25600      18242      43841  387088437
     25700      18250      43949  391016576
     25800      18224      44023  394300661
     25900      18223      44122  398741439
     26000      18214      44213  403260999
     26100      18212      44311  408140687
     26200      18131      44330  410986485
     26300      18031      44330  412729096
     26400      18015      44414  416607892
     26500      17933      44432  419044277
     26600      17872      44471  421474544
     26700      17785      44484  424065729
     26800      17732      44531  427085044
     26900      17663      44562  429624950
     27000      17577      44576  431889652
     27100      17506      44605  434558448
     27200      17458      44657  438319247
     27300      17358      44657  440060955
     27400      17258      44657  441771659
     27500      17158      44657  444029554
     27600      17058      44657  445622375
     27700      16980      44679  448036667
     27800      16885      44684  449671124
     27900      16804      44703  452473738
     28000      16717      44716  454480338
     28100      16729      44828  457100584
     28200      16685      44884  459587974
     28300      16675      44974  461991328
     28400      16577      44976  463678515
     28500      16544      45043  465412367
     28600      16555      45154  467965814
     28700      16493      45192  470090134
     28800      16425      45224  472378941
     28900      16333      45232  474013198
     29000      16329      45328  475857400
     29100      16236      45335  478227009
     29200      16136      45335  480766097
     29300      16062      45361  483399744
     29400      15962      45361  485537765
     29500      15874      45373  487512745
     29600      15783      45382  490014694
     29700      15683      45382  492051663
     29800      15615      45414  494531235
     29900      15613      45512  498411338
     30000      15523      45522  500577935
     30100      15432      45531  501933431
     30200      15332      45531  503469105
     30300      15253      45552  505664729
     30400      15161      45560  507660970
     30500      15075      45574  509412545
     30600      15014      45613  511496364
     30700      14918      45617  512771516
     30800      15037      45836  514880074
     30900      14977      45876  517484769
     31000      14919      45918  521070996
     31100      14906      46005  526363922
     31200      14848      46047  530333639
     31300      14748      46047  531884126
     31400      14773      46172  534698258
     31500      14781      46280  540483080
     31600      14769      46368  546322456
     31700      14763      46462  552019004
     31800      14749      46548  558043855
     31900      14733      46632  562431101
     32000      14733      46732  567964645
     32100      14739      46838  572668146
     32200      14726      46925  578587905
     32300      14716      47015  583501514
     32400      14721      47120  587905035
     32500      14706      47205  593840496
     32600      14711      47310  599577627
     32700      14702      47401  604745637
     32800      14707      47506  610872443
     32900      14713      47612  615611535
     33000      14691      47690  619764400
     33100      14661      47760  622744749
     33200      14590      47789  624702694
     33300      14490      47789  626880163
     33400      14428      47827  629306347
     33500      14356      47855  631296382
     33600      14256      47855  633490864
     33700      14156      47855  635906244
     33800      14056      47855  637624672
     33900      13956      47855  640102993
     34000      13856      47855  642027722
     34100      13759      47858  643904433
     34200      13659      47858  645807865
     34300      13559      47858  648438448
     34400      13459      47858  650465665
     34500      13359      47858  652341029
     34600      13263      47862  654043808
     34700      13163      47862  656234344
     34800      13075      47874  658177238
     34900      12981      47880  660132922
     35000      12881      47880  662013663
     35100      12781      47880  663906689
     35200      12687      47886  665819218
     35300      12587      47886  667730620
     35400      12503      47902  669932285
     35500      12423      47922  672938362
     35600      12323      47922  675299440
     35700      12223      47922  677106921
     35800      12123      47922  678907407
     35900      12023      47922  680679578
     36000      11923      47922  682411988
     36100      11837      47936  684241578
     36200      11737      47936  686188063
     36300      11637      47936  688421021
     36400      11557      47956  690839990
     36500      11457      47956  692988356
     36600      11357      47956  695308710
     36700      11269      47968  697310117
     36800      11169      47968  699167849
     36900      11069      47968  701190745
     37000      10969      47968  703016179
     37100      10869      47968  705003674
     37200      10769      47968  706480411
     37300      10669      47968  708430766
     37400      10569      47968  710328243
     37500      10473      47972  712286638
     37600      10484      48083  718298759
     37700      10449      48148  721785578
     37800      10349      48148  724014853
     37900      10249      48148  725932163
     38000      10149      48148  727711976
     38100      10065      48164  730053687
     38200       9965      48164  732442539
     38300       9865      48164  734476349
     38400       9765      48164  736203521
     38500       9665      48164  738315763
     38600       9565      48164  740263939
     38700       9465      48164  742401351
     38800       9365      48164  744333170
     38900       9265      48164  746436545
     39000       9165      48164  747934185
     39100       9065      48164  750386741
     39200       8965      48164  752233168
     39300       8865      48164  754158225
     39400       8765      48164  756304476
     39500       8665      48164  758493719
     39600       8573      48172  759817437
     39700       8473      48172  761236950
     39800       8373      48172  763467705
     39900       8273      48172  765580960
     40000       8173      48172  767033535
     40100       8073      48172  768949586
     40200       7973      48172  770630269
     40300       7873      48172  772380312
     40400       7781      48180  774541935
     40500       7681      48180  775848976
     40600       7581      48180  777702461
     40700       7481      48180  779430122
     40800       7381      48180  781002842
     40900       7299      48198  783161755
     41000       7199      48198  785019182
     41100       7099      48198  786486514
     41200       6999      48198  788260315
     41300       6899      48198  789889940
     41400       6799      48198  791711401
     41500       6699      48198  793622337
